ID#,Phase 1 Score (Human-only mode),Phase 2 Score (Human AI collaboration),Total Score
1,567,1144,1711
2,550,992,1542
3,596,1172,1768
4,508,1166,1674
5,501,1203,1704
6,660,1060,1720
7,530,1076,1606
8,501,1055,1556
9,659,1170,1829
10,561,940,1501
11,531,1140,1671
12,566,1139,1705
13,619,1005,1624
14,528,1007,1535
15,522,1136,1658
16,602,1167,1769
17,559,1146,1705
18,595,1073,1668
19,516,1062,1578
20,502,999,1501
21,521,1126,1647
22,500,1093,1593
23,498,1032,1530
24,580,1228,1808
25,592,1029,1621
26,675,1141,1816
27,597,1069,1666
28,494,1043,1537
29,567,1063,1630
30,551,1040,1591